TC,DC,BD,NC,PP,NI,BC
42.97,15.2,27.77,15.33,0.14,15.2,2.46
33.78,12.03,21.73,13.19,1.16,12.03,2.61
41.99,9.33,32.65,9.65,0.32,9.33,2.64
12.09,5.81,6.28,10.88,8.85,5.81,2.57
30.83,15.72,15.11,16.6,9.74,15.72,2.61
25.73,15.52,10.21,16.28,9.75,15.52,2.61
31.46,15.04,0.02,16.39,15.87,5.58,0.42
39.2,14.76,0,24.44,15.4,0.25,12.9
31.08,15.12,9,6.96,16.42,5.06,4.3
13.74,8.54,4.8,0.4,16.44,4.49,11.3
28.01,2.37,0.2,0.11,7.98,9.84,4.8
35.75,12.98,8.2,14.58,13.75,4.08,3.7
28.99,15.13,7.7,6.17,17.42,0.38,6.6
39.68,16.44,0,23.24,17.27,0.11,3.8
29.69,17.97,6.1,5.62,18.89,0.42,8.7
18.69,13.48,4.9,0.31,18.79,2.6,9.8
28.46,12.98,9.4,6.07,15.83,2.46,6.2
19.95,6.18,6.8,6.96,18.31,2.63,12.2
38.34,18.39,3.8,16.15,18.95,0.21,4.7
29.01,18.95,4.5,5.56,19.3,0.34,6.6
33.74,13.89,4.3,15.55,14.07,0.21,4
36.06,13.29,2.4,20.37,13.96,0.18,3.6
40.37,17.13,0,23.24,20.5,0.27,9
22.62,14.99,7.2,0.42,18.06,5.17,4.9
15.68,9.11,6.2,0.37,16.68,4.51,8.5
35.84,18.9,5.9,11.04,20.54,0.29,6.2
34.57,19.56,4.1,10.91,19.83,0.25,6.2
30.23,14.42,4.6,11.21,14.91,0.26,6.6
31.51,13.12,6,12.39,13.82,0.36,6.2
14.58,6.33,6.7,1.54,9.95,0.31,8.1
29.9,1.49,7.6,20.81,3.6,0.21,7
25.33,3.29,0,0.13,17.4,7.72,12.8
35.6,10.41,8.1,17.1,10.83,3.06,3.1
30.51,5.52,4.3,20.69,5.55,0.22,5.8
31.71,21.21,5.7,4.8,22.23,0.44,7.6
27.11,11.71,8.6,6.8,14.17,0.66,8.9
31.7,19.61,9.7,2.38,23.52,0.65,11.8
13.34,10.36,2.5,0.48,21.19,4.74,13.1
8.68,7.1,1.5,0.09,14.54,10.72,3.9
